"","isolate","Q0","Nmax","b","Tmin","Clade","Topt","mu_opt","percent_over_5_d35"
"1",125,4.73739317534148e-13,659184.598523894,0.303807648511495,9.22249705742761,"I",28,32.5441613115998,0
"2",193,4.17051689131319e-05,3051843.63724857,0.167684836260396,6.78908846749202,"II",36.31,24.5045712879753,3
"3",194,4.53048540502852e-11,4767989.1727895,0.214671186208799,6.88819067424386,"VII",42.35,57.9521153140524,3
"4",402,1.47260486430738e-27,2329223.88231247,0.129340496468862,4.25524066911024,"IV",38.735,19.8882925121588,0
"5",407,5.55723692296451e-06,2653526.53950811,0.149200698369159,6.71418346322743,"IV",38.735,22.8247756027779,3
"6",413,0.000822545272958217,12624203.1418679,0.127599921286951,4.87984246378562,"IV",38.735,18.6616693809153,10
"7",433,0.00049237866957483,6518274.59878149,0.115296251152236,5.82511138627934,"IV",38.735,14.3973710590024,3
"8",457,5.25228830810873e-07,1731515.741232,0.135980972913925,5.8813881284017,"II",36.31,17.1206626366579,3
"9",474,4.99762729564262e-06,2566562.38833696,0.149022698094407,6.40939600291887,"III",39.27,23.9803726582079,3
"10",495,5.48195049661005e-05,5511551.9494641,0.16799470345441,6.7922763584353,"IV",38.735,28.7961924386586,3
"11",518,2.31603396288265e-12,5673428.87569486,0.200144901541889,6.86008343740316,"II",36.31,34.7421907349017,1
"12",536,4.81752309206925e-17,3687750.65872081,0.21334210483149,7.06256983043508,"VII",42.35,56.6752199829251,0
"13",564,7.95688962711397e-07,4954358.34418199,0.197437841799542,6.27624576290391,"II",36.31,35.1625235061949,3
"14",570,0.00150139929139313,8022484.14237284,0.135195022847907,5.41805850534546,"V",37.375,18.6660240988107,5
"15",638,4.87660392809287e-05,3513083.44587542,0.153815944546569,5.52250748964139,"V",37.375,24.004328307089,5
"16",649,0.000375466984586454,4163228.90042673,0.149130711864627,6.4583829827179,"IV",38.735,23.16915527054,3
