"","isolate","rep","LOG10N0","lag","mumax","LOG10Nmax"
"LOG10N0",125,"rep1",4.04944205051854,14.0158092385095,0.947000664119222,6.16954839100499
"LOG10N01",135,"rep1",3.71926766622241,13.0161902690485,0.89830993975333,6.23764302493132
"LOG10N02",125,"rep2",3.91914548876868,9.11869027500099,0.35411947487388,6.28310062650603
"LOG10N03",135,"rep2",3.73713681639887,12.5637181277876,0.904612645882949,6.18171661150683
