t,rep,LOG10N,Isolate
0,1,3.222716471,193
6,1,3.222716471,193
24,1,3.268343914,193
48,1,3.303196057,193
96,1,3.599337133,193
192,1,4.047274867,193
240,1,4.689308859,193
288,1,6.053654558,193
384,1,5.913018684,193
504,1,5.713070326,193
0,2,3.136720567,193
6,2,3.144574208,193
24,2,3.165837625,193
48,2,3.247973266,193
96,2,3.47348697,193
192,2,4.031408464,193
240,2,4.633973156,193
288,2,6.071882007,193
384,2,5.95206559,193
504,2,5.587149498,193
