t,Rep,LOG10N,Isolate,
240,rep1,6.15685,495,
288,rep1,6.39881,495,
384,rep1,6.50786,495,
0,rep2,3.02305,495,
6,rep2,2.884,495,
24,rep2,3.03782,495,
48,rep2,3.29003,495,
96,rep2,3.4624,495,
192,rep2,6.26951,495,
240,rep2,6.46464,495,
288,rep2,6.88338,495,
384,rep2,5.71517,495,
0,rep1,3.13988,518,
6,rep1,3.12057,518,
24,rep1,3.31387,518,
48,rep1,3.26834,518,
96,rep1,4.25527,518,
192,rep1,6.91803,518,
240,rep1,6.93044,518,
288,rep1,7.00325,518,
384,rep1,6.91934,518,
0,rep2,3.14145,518,
6,rep2,3.15076,518,
24,rep2,3.08279,518,
48,rep2,3.12057,518,
96,rep2,3.79029,518,
192,rep2,6.24428,518,
240,rep2,6.5563,518,
288,rep2,6.76901,518,
384,rep2,6.43056,518,
0,rep1,3.11394,536,536 rep1 does not fit Buchanan
6,rep1,3.11727,536,
24,rep1,3.51983,536,
48,rep1,3.37107,536,
96,rep1,4.26126,536,
192,rep1,6.85003,536,
240,rep1,6.85126,536,
288,rep1,6.82004,536,
384,rep1,6.71328,536,
0,rep2,3.0607,536,
6,rep2,3.09167,536,
24,rep2,3.39182,536,
48,rep2,3.41581,536,
96,rep2,3.66134,536,
192,rep2,5.59162,536,
240,rep2,6.55388,536,
288,rep2,6.31034,536,
384,rep2,6.03543,536,
0,rep1,3.51851,564,
6,rep1,3.13033,564,
24,rep1,3.67669,564,
48,rep1,4.07433,564,
96,rep1,6.14613,564,
192,rep1,6.66699,564,
240,rep1,6.59273,564,
288,rep1,6.84819,564,
384,rep1,6.52244,564,
0,rep2,3.65321,564,564 rep2 does not fit Buchanan
6,rep2,3.63849,564,
24,rep2,3.67852,564,
48,rep2,3.70969,564,
96,rep2,5.66087,564,
192,rep2,6.34733,564,
240,rep2,6.51654,564,
288,rep2,6.57171,564,
384,rep2,6.53719,564,
0,rep1,3.92324,570,
6,rep1,3.92711,570,
24,rep1,3.97336,570,
48,rep1,4.37475,570,
96,rep1,6.13988,570,
192,rep1,6.55841,570,
240,rep1,6.48073,570,
288,rep1,6.5772,570,
384,rep1,6.37612,570,
0,rep2,3.58149,570,
6,rep2,3.61278,570,
24,rep2,3.64933,570,
48,rep2,3.68395,570,
96,rep2,4.90009,570,
192,rep2,6.78068,570,
240,rep2,6.80686,570,
288,rep2,6.7344,570,
384,rep2,6.5422,570,
0,rep1,3.2418,638,638 rep1 and rep2 are exactly the same 
6,rep1,3.26364,638,
24,rep1,3.95617,638,
48,rep1,4.00966,638,
96,rep1,4.19728,638,
192,rep1,5.943,638,
240,rep1,6.14768,638,
288,rep1,6.42705,638,
384,rep1,6.20548,638,
0,rep2,3.2418,638,
6,rep2,3.26364,638,
24,rep2,3.95617,638,
48,rep2,4.00966,638,
96,rep2,4.19728,638,
192,rep2,5.943,638,
240,rep2,6.14768,638,
288,rep2,6.42705,638,
384,rep2,6.20548,638,
0,rep1,3.22272,649,
6,rep1,3.19033,649,
24,rep1,3.23312,649,
48,rep1,3.31911,649,
96,rep1,3.47056,649,
192,rep1,5.943,649,
240,rep1,6.17609,649,
