isolate,rep,LOG10N0,lag,mumax,LOG10Nmax
433,rep1,3.536262,0,0.3104931,7.612875
433,rep2,3.410224,0,0.3273839,7.43078
413,rep1,3.6478,27.8282,0.1143,7.3703
