"","isolate","rep","LOG10N0","lag","mumax","LOG10Nmax"
"LOG10N0",193,"rep1",3.32826090517314,174.260657343095,0.0578726566291631,5.90826246896572
"LOG10N01",194,"rep1",3.12562734407922,67.9811381233612,0.0669667074597638,6.71023510670549
"LOG10N02",402,"rep1",3.09748799977724,180.539851494266,0.342211230098659,6.520567909291
"LOG10N03",407,"rep1",2.99275862143434,41.9555968701444,0.0360369002312767,6.52940805170319
"LOG10N04",413,"rep1",3.6478,27.8282,0.1143,7.3703
"LOG10N05",433,"rep1",3.47528387488252,81.4539618039569,0.052916140432924,6.19416039073168
"LOG10N06",457,"rep1",3.20092292917733,167.441141892193,0.0863553136519157,5.97946772641464
"LOG10N07",474,"rep1",3.16765387090278,115.046623854264,0.0634954305744861,6.43144250850575
"LOG10N08",495,"rep1",3.6669215894148,72.4816970560735,0.0334403751167092,6.56958528539852
"LOG10N09",518,"rep1",3.19029642065829,68.3501524747752,0.0860711608191816,6.95663712255276
"LOG10N010",536,"rep1",3.26136943915629,70.2492531916499,0.0871807822059667,6.81652771605365
"LOG10N011",564,"rep1",3.37966906496024,33.3108860797812,0.10630239720656,6.65913598494225
"LOG10N012",570,"rep1",3.92154722256533,42.119456624009,0.105421246083586,6.49808227691613
"LOG10N013",638,"rep1",3.32870699529694,10.0222483869086,0.0329963024379945,6.34700473561435
"LOG10N014",649,"rep1",3.23855796450615,100.145651316723,0.0787624355855972,6.14091484647994
"LOG10N015",193,"rep2",3.238069795005,170.884882499118,0.0574704595026385,5.87833119064152
"LOG10N016",194,"rep2",3.01793256246735,110.696105539999,0.107286033980014,6.66980095153796
"LOG10N017",402,"rep2",3.32182587742756,172.199763366178,0.0507894585374113,5.00757035331526
"LOG10N018",407,"rep2",3.41476447418195,189.761594842795,0.0637664069843675,5.40867639494815
"LOG10N019",413,"rep2",3.66831426383133,56.5629604647329,0.125593306689217,6.51331750997316
"LOG10N020",433,"rep2",3.79663923362474,122.470032997515,0.0621928038636322,6.01871521833438
"LOG10N021",457,"rep2",3.07257937694814,101.375462849458,0.0682756375347718,6.3379829556464
"LOG10N022",474,"rep2",3.65880060550419,194.049555824773,0.0629043042369504,5.01167653739639
"LOG10N023",495,"rep2",3.05361155737467,90.4454185080138,0.0885651422809658,6.35719758125949
"LOG10N024",518,"rep2",3.10954274122433,76.8376468506656,0.0680277872642337,6.5914465382317
"LOG10N025",536,"rep2",3.22192136495322,86.1575507978614,0.0564047473459988,6.30154095645806
"LOG10N026",564,"rep2",3.65571022900167,62.1769575518563,0.140913188224345,6.49319556576704
"LOG10N027",570,"rep2",3.6121965782623,65.76480684921,0.0969327773311072,6.7166010514307
"LOG10N028",638,"rep2",3.61075348183695,106.267139651125,0.0934298711830147,5.57403615135726
"LOG10N029",649,"rep2",3.52151040459652,85.6008852388543,0.0452424463922808,6.45830698543289
