"isolate","average_LOG10Nmax","average_Nmax","min_Nmax","max_Nmax"
125,5.81900705176214,659184.598523894,175452.760402247,1919113.34982034
193,6.48456227855554,3051843.63724857,755668.276564487,14564251.7372866
194,6.67833526053186,4767989.1727895,3908405.4422525,5511951.33508262
402,6.36721123442558,2329223.88231247,101758.419586738,12195910.7885788
407,6.42382343562634,2653526.53950811,256257.387896915,7806748.31921914
413,7.10120397435413,12624203.1418679,3260750.0527223,33976865.7231744
433,6.81413265226652,6518274.59878149,1044035.38519277,41008605.3744495
457,6.23842644408018,1731515.741232,953822.859078187,2245628.83568657
474,6.40935182561262,2566562.38833696,102725.091647725,14186598.3440038
495,6.74127390523767,5511551.9494641,2276132.7165133,11260952.2922526
518,6.75384561474883,5673428.87569486,3903431.28205211,9049761.26489887
536,6.56676154925729,3687750.65872081,2002354.44618262,6554321.13240271
564,6.69498741550629,4954358.34418199,3113117.87973259,7496222.33609424
570,6.90430886732107,8022484.14237284,3148344.71025387,16394413.7441725
638,6.54568846566246,3513083.44587542,375004.216888427,16291846.6029837
649,6.61943028969036,4163228.90042673,1383295.12524227,13757353.2892102
