"","RMSE"
"Iso193rmse.buc",0.107586462258211
"Iso193rmse.gom",0.10087172001555
"Iso193rmse.bar",0.10020365195035
"Iso194rmse.buc",0.190806284793626
"Iso194rmse.gom",0.190893716891066
"Iso194rmse.bar",0.189306837223016
"Iso125rmse.buc",0.185335007665274
"Iso125rmse.gom",0.177030581792386
"Iso125rmse.bar",0.175891133336078
"Iso135rmse.buc",0.173104892545121
"Iso135rmse.gom",0.174745096333052
"Iso135rmse.bar",0.167501351828347
"Iso402rmse.buc",0.15058149171884
"Iso402rmse.gom",0.140424302481299
"Iso402rmse.bar",0.140260412829854
"Iso407rmse.buc",0.116119535158626
"Iso407rmse.gom",0.129640372820248
"Iso407rmse.bar",0.114528856084809
"Iso413rmse.buc",0.213567435896569
"Iso413rmse.gom",0.189621373776814
"Iso413rmse.bar",0.208058728697484
"Iso433rmse.buc",0.176778885703972
"Iso433rmse.gom",0.19395632829704
"Iso433rmse.bar",0.179624704337507
"Iso457rmse.buc",0.223119688172441
"Iso457rmse.gom",0.232844042920055
"Iso457rmse.bar",0.209967927940307
"Iso474rmse.buc",0.173448272361211
"Iso474rmse.gom",0.139744824738748
"Iso474rmse.bar",0.144554329207456
"Iso495rmse.buc",0.149269086112367
"Iso495rmse.gom",0.15244001538092
"Iso495rmse.bar",0.14387178626498
"Iso518rmse.buc",0.192480004930515
"Iso518rmse.gom",0.18502950510437
"Iso518rmse.bar",0.172736499929215
"Iso536rmse.buc",0.177255608424192
"Iso536rmse.gom",0.163255090577328
"Iso536rmse.bar",0.16656633740079
"Iso564rmse.buc",0.0937382347864404
"Iso564rmse.gom",0.0817842761141787
"Iso564rmse.bar",0.0834005662435445
"Iso570rmse.buc",0.173483790149422
"Iso570rmse.gom",0.174804070701439
"Iso570rmse.bar",0.16608460881923
"Iso638rmse.buc",0.153576135815236
"Iso638rmse.gom",0.140360976649712
"Iso638rmse.bar",0.144261943952118
"Iso649rmse.buc",0.145621633643
"Iso649rmse.gom",0.124409347115276
"Iso649rmse.bar",0.176169863596268
