,LOG10N0,lag (h),mumax (ln h-1),LOG10Nmax,Isolate,Rep,Model,AIC,BIC
Iso474Rep1_gomcoef,3.9319,12.1314,1.3496,6.9905,474,1,gom,-0.9387,2.6015
Iso474Rep1_barcoef,3.8334,8.0451,0.6177,7.0424,474,1,bar,1.1861,4.7263
Iso474Rep2_buccoef,3.9559,0.1607,0.3221,7.052,474,2,buc,-10.1527,-6.9574
Iso474Rep2_gomcoef,4.012,2.4918,0.3883,7.6004,474,2,gom,-14.4671,-11.2718
Iso474Rep2_barcoef,4.0865,3.2579,0.3955,7.1519,474,2,bar,-17.1387,-13.9434
Iso495Rep1_buccoef,3.9516,13.7248,0.5055,6.8662,495,1,buc,2.1053,5.6456
Iso495Rep1_gomcoef,3.9638,14.8586,0.599,7.4156,495,1,gom,3.099,6.6393
Iso495Rep1_barcoef,3.9595,15.3158,0.6406,6.9867,495,1,bar,1.1914,4.7317
Iso495Rep2_buccoef,3.806,5.902,0.479,6.9979,495,2,buc,-16.0728,-12.8775
Iso495Rep2_gomcoef,3.8028,7.5025,0.613,7.2745,495,2,gom,-16.957,-13.7617
Iso495Rep2_barcoef,3.7703,7.2403,0.5796,7.0516,495,2,bar,-17.8547,-14.6594
Iso518Rep1_buccoef,4.0578,9.947,0.3857,6.7473,518,1,buc,7.3867,10.927
Iso518Rep1_gomcoef,4.0521,11.342,0.5026,6.8973,518,1,gom,4.9392,8.4794
Iso518Rep1_barcoef,4.0078,10.4775,0.4423,6.7961,518,1,bar,5.0413,8.5816
Iso518Rep2_buccoef,3.1575,17.8868,1.0846,6.6411,518,2,buc,-2.82,0.7203
Iso518Rep2_gomcoef,3.1799,18.9544,1.4609,6.8117,518,2,gom,-1.7845,1.7557
Iso518Rep2_barcoef,3.1718,18.9659,1.4126,6.6712,518,2,bar,-8.0235,-4.4833
Iso536Rep1_buccoef,4.1175,21.045,1.0163,6.9722,536,1,buc,12.9915,16.8545
Iso536Rep1_gomcoef,4.1135,22.3877,3.2303,6.8049,536,1,gom,-1.4652,2.3977
Iso536Rep1_barcoef,4.1152,23.4471,9.0292,6.7969,536,1,bar,-1.2834,2.5796
Iso536Rep2_buccoef,3.7168,19.4548,0.8645,6.9667,536,2,buc,-0.0274,3.8355
Iso536Rep2_gomcoef,3.72,20.6183,1.4039,6.9291,536,2,gom,-8.4583,-4.5954
Iso536Rep2_barcoef,3.7238,21.1201,1.7789,6.763,536,2,bar,-3.5728,0.2901
Iso536Rep3_buccoef,3.049682358,3.470594984,0.316923568,6.167791628,536,3,buc,0.731225883,4.271476888
Iso536Rep3_gomcoef,3.013788071,4.944796763,0.353168412,7.356280781,536,3,gom,2.443281837,5.983532843
Iso536Rep3_barcoef,3.094954393,6.32245587,0.3840857,6.385933555,536,3,bar,0.266608747,3.806859753
Iso564Rep1_buccoef,3.9253,13.0049,0.7594,6.9079,564,1,buc,-11.0071,-7.4668
Iso564Rep1_gomcoef,3.9203,13.8018,1.0796,6.9379,564,1,gom,-21.1949,-17.6547
Iso564Rep1_barcoef,3.9143,13.8483,1.0141,6.8748,564,1,bar,-17.4979,-13.9576
Iso564Rep2_buccoef,3.5494,12.6424,0.6754,6.7142,564,2,buc,-33.8738,-30.3336
Iso564Rep2_gomcoef,3.5492,13.2214,0.8087,6.9083,564,2,gom,-24.022,-20.4817
Iso564Rep2_barcoef,3.5436,13.275,0.7761,6.7528,564,2,bar,-28.3244,-24.7842
Iso570Rep1_buccoef,3.9056,11.766,0.5231,7.0415,570,1,buc,8.0119,11.5521
Iso570Rep1_gomcoef,3.8728,11.1244,0.4855,8.0881,570,1,gom,9.2159,12.7562
Iso570Rep1_barcoef,3.8872,11.9993,0.5419,7.2147,570,1,bar,7.6892,11.2295
Iso570Rep2_buccoef,4.0998,3.2931,0.3153,7.1285,570,2,buc,-18.2382,-14.698
Iso570Rep2_gomcoef,4.074,4.9361,0.3806,7.5649,570,2,gom,-25.3547,-21.8144
Iso570Rep2_barcoef,4.0734,5.0996,0.3801,7.1879,570,2,bar,-26.9737,-23.4334
Iso638Rep1_buccoef,3.8514,4.951,0.4205,7.0508,638,1,buc,-10.5998,-7.0596
Iso638Rep1_gomcoef,3.8338,6.5079,0.547,7.2297,638,1,gom,-24.3743,-20.834
Iso638Rep1_barcoef,3.793,6.0967,0.509,7.0497,638,1,bar,-17.7022,-14.162
Iso638Rep2_buccoef,4.372,13.0579,0.5988,7.1178,638,2,buc,1.9593,5.1546
Iso638Rep2_gomcoef,4.3716,13.591,0.6919,7.4582,638,2,gom,2.5818,5.7771
Iso638Rep2_barcoef,4.3641,13.8648,0.7081,7.212,638,2,bar,2.0634,5.2587
Iso649Rep1_buccoef,3.7271,4.8327,0.3211,7.0801,649,1,buc,0.3405,3.8808
Iso649Rep1_gomcoef,3.6704,6.3109,0.3751,8.0276,649,1,gom,-6.126,-2.5858
Iso649Rep1_barcoef,3.7063,6.8517,0.3866,7.1386,649,1,bar,-5.2169,-1.6767
Iso649Rep2_buccoef,3.1919,10.722,0.5736,6.673,649,2,buc,-14.2049,-10.6647
Iso649Rep2_gomcoef,3.1892,11.2772,0.6442,7.113,649,2,gom,-15.1155,-11.5753
Iso649Rep2_barcoef,3.1009,8.0417,0.4291,16.9653,649,2,bar,4.5974,8.1376
