t,Rep,LOG10N,Isolate
1,rep2,3.662190991,433
2,rep2,3.777064155,433
4,rep2,3.822494985,433
6,rep2,4.007320953,433
8,rep2,5.185117001,433
14,rep2,5.320146286,433
15,rep2,5.325310372,433
16,rep2,5.540329475,433
18,rep2,5.882239848,433
20,rep2,6.040404529,433
22,rep2,6.528273777,433
24,rep2,7.156094631,433
27,rep2,7.029383778,433
30,rep2,7.124667218,433
0,rep1,3.122215878,457
1,rep1,3.190331698,457
2,rep1,3.351216345,457
4,rep1,3.56937391,457
6,rep1,3.645422269,457
8,rep1,3.721810615,457
14,rep1,4.452553063,457
15,rep1,4.579783597,457
16,rep1,4.675319983,457
18,rep1,4.862429556,457
20,rep1,5.255272505,457
22,rep1,6.255272505,457
24,rep1,6.337459261,457
27,rep1,6.165837625,457
30,rep1,6.056904851,457
0,rep2,3.02325246,457
1,rep2,3.149219113,457
2,rep2,3.329397879,457
4,rep2,3.480725379,457
6,rep2,3.668851648,457
8,rep2,3.778874472,457
14,rep2,4.532117116,457
15,rep2,4.612253906,457
16,rep2,4.705007959,457
18,rep2,4.903903527,457
20,rep2,5.226599905,457
22,rep2,6.213517757,457
24,rep2,6.324282455,457
27,rep2,6.161368002,457
30,rep2,6.117271296,457
0,rep1,3.607455023,474
1,rep1,3.653212514,474
2,rep1,3.822821645,474
4,rep1,4.053078443,474
6,rep1,4.156851901,474
8,rep1,4.302114377,474
14,rep1,4.989449818,474
15,rep1,5.652729696,474
16,rep1,6.035429738,474
18,rep1,6.668851648,474
20,rep1,6.774151859,474
22,rep1,6.860936621,474
24,rep1,7.037426498,474
27,rep1,7.014835435,474
30,rep1,7.015254942,474
0,rep2,3.955928157,474
1,rep2,4.128722284,474
2,rep2,4.343408594,474
4,rep2,4.527629901,474
6,rep2,4.639984248,474
8,rep2,4.831869774,474
14,rep2,5.881954971,474
15,rep2,5.998477303,474
16,rep2,6.197280558,474
18,rep2,6.631950826,474
20,rep2,6.868056362,474
22,rep2,6.846646329,474
24,rep2,6.936764998,474
27,rep2,7.167317335,474
0,rep1,3.67669361,495
1,rep1,3.71180723,495
2,rep1,3.8,495
4,rep1,3.997823081,495
6,rep1,4.15836249,495
8,rep1,4.36078269,495
14,rep1,4.180890142,495
15,rep1,4.26245109,495
16,rep1,4.301753217,495
18,rep1,4.943123377,495
20,rep1,5.095169351,495
22,rep1,5.686636269,495
24,rep1,6.383815366,495
27,rep1,6.91999281,495
30,rep1,6.846027675,495
0,rep2,3.71432976,495
1,rep2,3.78497371,495
2,rep2,3.8,495
4,rep2,3.924795996,495
6,rep2,3.930184652,495
8,rep2,4.039414119,495
14,rep2,5.677606953,495
15,rep2,5.716837723,495
16,rep2,5.910357557,495
18,rep2,6.201397124,495
20,rep2,6.75089392,495
22,rep2,6.974511693,495
24,rep2,6.983851719,495
27,rep2,7.035229556,495
0,rep1,3.525044807,518
1,rep1,3.96378783,518
2,rep1,4.144574208,518
4,rep1,4.204119983,518
6,rep1,4.23299611,518
8,rep1,4.276461804,518
14,rep1,4.711975854,518
15,rep1,4.81571054,518
16,rep1,4.811127971,518
18,rep1,5.744488567,518
20,rep1,5.96449534,518
22,rep1,6.183412212,518
24,rep1,6.118925753,518
27,rep1,6.730984038,518
30,rep1,6.763615149,518
0,rep2,3.293362555,518
1,rep2,3.122215878,518
2,rep2,3.1430148,518
4,rep2,3.240549248,518
6,rep2,3.144574208,518
8,rep2,3.307496038,518
14,rep2,2.893484346,518
15,rep2,3.075546961,518
16,rep2,3.197280558,518
18,rep2,3.425697213,518
20,rep2,3.986099625,518
22,rep2,4.784082118,518
24,rep2,6.2999429,518
27,rep2,6.697665163,518
30,rep2,6.584613876,518
0,rep1,3.558708571,536
1,rep1,3.535926741,536
2,rep1,3.591621038,536
4,rep1,3.788521887,536
6,rep1,3.748962861,536
8,rep1,3.879382637,536
14,rep1,3.731588765,536
15,rep1,3.766412847,536
16,rep1,3.781755375,536
18,rep1,3.78497371,536
20,rep1,3.870988814,536
22,rep1,4.432969291,536
24,rep1,5.940267391,536
27,rep1,6.322736004,536
30,rep1,6.919731658,536
32,rep1,7.013679697,536
0,rep2,3.013469232,536
1,rep2,3.049218023,536
2,rep2,3.086359831,536
4,rep2,3.252853031,536
6,rep2,3.518645524,536
8,rep2,3.756636108,536
14,rep2,4.36078269,536
15,rep2,4.519827994,536
16,rep2,4.575764981,536
18,rep2,4.649821463,536
20,rep2,5.230448921,536
22,rep2,5.938769823,536
24,rep2,6.149219113,536
27,rep2,6.197280558,536
30,rep2,6.138302698,536
0,rep1,3.939519253,564
1,rep1,4.079181246,564
2,rep1,4.006466042,564
4,rep1,3.835690571,564
6,rep1,3.81,564
8,rep1,3.880813592,564
14,rep1,4.056904851,564
15,rep1,4.620136055,564
16,rep1,4.936513742,564
18,rep1,5.809896247,564
20,rep1,6.344392274,564
22,rep1,6.678518379,564
24,rep1,6.977723605,564
27,rep1,6.888319929,564
30,rep1,6.857633985,564
0,rep2,3.507855872,564
1,rep2,3.532754379,564
2,rep2,3.562292864,564
4,rep2,3.566437492,564
6,rep2,3.550839605,564
8,rep2,3.57634135,564
14,rep2,3.870111155,564
15,rep2,4.247154615,564
16,rep2,4.614633608,564
18,rep2,5.127671604,564
20,rep2,5.742332282,564
22,rep2,6.244277121,564
24,rep2,6.715167358,564
27,rep2,6.596047008,564
30,rep2,6.831389802,564
0,rep1,3.531478917,570
1,rep1,3.579783597,570
2,rep1,3.785329835,570
4,rep1,4.01494035,570
6,rep1,4.220108088,570
8,rep1,4.302114377,570
14,rep1,4.584048388,570
15,rep1,4.526339277,570
16,rep1,4.978066334,570
18,rep1,5.269512944,570
20,rep1,5.566437492,570
22,rep1,6.025305865,570
24,rep1,6.985875357,570
27,rep1,6.983739018,570
30,rep1,7.099248894,570
0,rep2,3.980911938,570
1,rep2,4.108903128,570
2,rep2,4.209515015,570
4,rep2,4.328379603,570
6,rep2,4.44870632,570
8,rep2,4.518842826,570
14,rep2,5.678973376,570
15,rep2,5.675319983,570
16,rep2,5.792391689,570
18,rep2,6.208172527,570
20,rep2,6.472024698,570
22,rep2,6.638489257,570
24,rep2,6.856426772,570
27,rep2,7.136720567,570
30,rep2,7.120244796,570
0,rep1,3.77815125,638
1,rep1,3.802773725,638
2,rep1,3.86332286,638
4,rep1,3.961421094,638
6,rep1,4.037426498,638
8,rep1,4.191730393,638
14,rep1,5.678973376,638
15,rep1,5.745074792,638
16,rep1,6.087248868,638
18,rep1,6.335457901,638
20,rep1,6.39707055,638
22,rep1,6.836324116,638
24,rep1,6.988893244,638
27,rep1,7.096040554,638
30,rep1,7.067442843,638
0,rep2,3.999565488,638
1,rep2,4.276461804,638
2,rep2,4.31386722,638
4,rep2,4.191730393,638
6,rep2,4.622473071,638
8,rep2,4.827853706,638
14,rep2,4.584613876,638
15,rep2,4.918554531,638
16,rep2,5.118925753,638
18,rep2,5.669316881,638
20,rep2,6.191730393,638
22,rep2,6.679881942,638
24,rep2,7.0757294,638
27,rep2,7.159867847,638
0,rep1,3.562292864,649
1,rep1,3.62838893,649
2,rep1,3.77815125,649
4,rep1,3.939519253,649
6,rep1,4.037426498,649
8,rep1,4.208172527,649
14,rep1,4.756128755,649
15,rep1,4.919601024,649
16,rep1,5.113943352,649
18,rep1,5.626340367,649
20,rep1,6.174641193,649
22,rep1,6.393575203,649
24,rep1,6.300486788,649
27,rep1,6.705863712,649
30,rep1,7.080085085,649
0,rep2,3.113943352,649
1,rep2,3.079181246,649
2,rep2,3.075546961,649
4,rep2,3.210853365,649
6,rep2,3.31386722,649
8,rep2,3.357934847,649
14,rep2,4.123851641,649
15,rep2,4.216165902,649
16,rep2,4.394889257,649
18,rep2,4.946820571,649
20,rep2,5.549003262,649
22,rep2,6.139879086,649
24,rep2,6.410777233,649
27,rep2,6.532117116,649
30,rep2,6.81391442,649
