Iso,Rep,LOG10N0,lag,mumax,LOG10Nmax
193,1,3,48,0.02333535,6
193,2,3,48,0.02418578,6
194,1,3,48,0.05137876,7
194,2,3,96,0.07988987,7
402,1,3,96,0.05105593,6.5
402,2,3,96,0.02222647,5.5
407,1,3,96,0.0311082,6.5
407,2,3,96,0.02334458,6
413,1,3.5,24,0.1019956,7
413,2,3.5,48,0.03952627,7
433,1,3.5,96,0.03716093,6.5
433,2,3.5,96,0.03359971,6
457,1,3,96,0.02981658,6
457,2,3,96,0.04858549,6.5
474,1,3,96,0.04707647,6.5
474,2,3.5,96,0.01963467,6
495,1,3.5,48,0.02717099,6.5
495,2,3,96,0.0673414,6.5
518,1,3,48,0.05915667,7
518,2,3,48,0.05123089,7
536,1,3,48,0.05656267,7
536,2,3,96,0.04626713,6.5
564,1,3,24,0.07667757,7
564,2,3.5,48,0.0385102,6.5
570,1,4,24,0.07149725,6.5
570,2,3.5,48,0.04889595,6.5
638,1,3.5,96,0.0418791,6.5
638,2,3.5,96,0.04331511,6
649,1,3.5,96,0.05931281,5.5
649,2,3.5,48,0.03378568,6.5
