Iso,Rep,LOG10N0,lag,mumax,LOG10Nmax
125,1,3.5,16,0.4672418,5.5
125,2,3.5,14,0.758301,6
135,1,3.5,15,0.4553405,6
135,2,3.5,14,0.7246246,6
193,1,3.5,8,0.3965784,7
193,2,4,8,0.5825736,7
194,1,4,20,0.6719291,6.5
194,2,3.5,18,0.6956504,6.5
402,1,4,15,0.4389209,7
402,2,3.5,8,0.3436673,7
407,1,4,8,0.3424971,6.5
407,2,3.5,8,0.4038507,7
413,1,4,8,0.3351271,7
413,2,4,8,0.4035213,7
433,1,3.5,8,0.3741916,7
433,2,4,6,0.3227814,7
457,1,3,8,0.3723931,6
457,2,3,8,0.3547846,6
474,1,3.5,8,0.5293897,7
474,2,4,8,0.397983,7
495,1,4,16,0.5518554,7
495,2,4,8,0.4790227,7
518,1,4,14,0.3235215,6.5
518,2,3,14,0.7113555,6.5
536,1,3.5,20,0.71585,7
536,2,3,4,0.2966108,6
564,1,4,14,0.6715829,7
564,2,3.5,14,0.6501344,6.5
570,1,3.5,14,0.5232419,7
570,2,4,8,0.3133749,7
638,1,4,8,0.3895698,7
638,2,4,14,0.5771707,7
649,1,3.5,8,0.336758,7
649,2,3,8,0.4745186,6.5
