,LOG10N0,lag,mumax,LOG10Nmax,AIC,BIC
Iso457Rep4_gomcoef,3.159197696,4.893866456,0.353810991,7.110455447,8.021135388,11.56138639
Iso457Rep4_barcoef,3.239900124,6.713518519,0.400128141,6.351361381,5.50215321,9.042404216
Iso474Rep1_buccoef,3.694496397,3.504367864,0.408931764,7.022505625,6.121252317,9.661503322
Iso474Rep1_gomcoef,3.931920657,12.13143241,1.349588951,6.99050985,-0.938745884,2.601505121
Iso474Rep1_barcoef,3.833354501,8.04511769,0.617729601,7.042410848,1.186098221,4.726349226
Iso474Rep2_buccoef,3.955928344,0.160704746,0.322144225,7.052041167,-10.15268894,-6.957402287
Iso474Rep2_gomcoef,4.011977845,2.491786101,0.388344178,7.600416904,-14.46713662,-11.27184997
Iso474Rep2_barcoef,4.086452121,3.257941819,0.395458896,7.151877203,-17.13870173,-13.94341508
Iso495Rep1_buccoef,3.951579021,13.72478245,0.505545544,6.866228149,2.105324274,5.645575279
Iso495Rep1_gomcoef,3.96382595,14.8585568,0.598964629,7.415569059,3.099005882,6.639256887
Iso495Rep1_barcoef,3.959535196,15.31577491,0.640614115,6.986733018,1.191405646,4.731656652
Iso495Rep2_buccoef,3.80602487,5.902014316,0.479014229,6.997864323,-16.07283403,-12.87754738
Iso495Rep2_gomcoef,3.802826548,7.502473514,0.613039255,7.274482101,-16.95699704,-13.7617104
Iso495Rep2_barcoef,3.770335493,7.240292357,0.579644343,7.051575318,-17.85469429,-14.65940764
Iso518Rep1_buccoef,4.057830792,9.947018942,0.385710166,6.747299594,7.386719197,10.9269702
Iso518Rep1_gomcoef,4.052132351,11.34195055,0.502558196,6.897260312,4.939194383,8.479445388
Iso518Rep1_barcoef,4.007812148,10.47754653,0.442316267,6.796125154,5.041329328,8.581580333
Iso518Rep2_buccoef,3.157502733,17.88675005,1.084600419,6.64113952,-2.819962758,0.720288247
Iso518Rep2_gomcoef,3.179898955,18.95440217,1.460947291,6.811654603,-1.784531083,1.755719922
Iso518Rep2_barcoef,3.171842512,18.9659224,1.412599474,6.671183332,-8.023505244,-4.483254238
Iso536Rep1_buccoef,4.117532331,21.0450052,1.016255451,6.972224062,12.99152332,16.85446693
Iso536Rep1_gomcoef,4.1134542,22.38769309,3.230258467,6.804922633,-1.465215166,2.397728445
Iso536Rep1_barcoef,4.115229992,23.44707006,9.029150445,6.796943318,-1.283362064,2.579581547
Iso536Rep2_buccoef,3.716785443,19.4547682,0.864526901,6.966705678,-0.027409577,3.835534034
Iso536Rep2_gomcoef,3.719953529,20.61830858,1.403856176,6.929109236,-8.458315295,-4.595371684
Iso536Rep2_barcoef,3.723804014,21.12009743,1.778934852,6.763045775,-3.572841996,0.290101615
Iso536Rep3_buccoef,3.049682358,3.470594984,0.316923568,6.167791628,0.731225883,4.271476888
Iso536Rep3_gomcoef,3.013788071,4.944796763,0.353168412,7.356280781,2.443281837,5.983532843
Iso536Rep3_barcoef,3.094954393,6.32245587,0.3840857,6.385933555,0.266608747,3.806859753
Iso564Rep1_buccoef,3.925278451,13.00485954,0.759367541,6.907892506,-11.00707162,-7.466820619
Iso564Rep1_gomcoef,3.920310533,13.80178963,1.079646792,6.937866261,-21.1949232,-17.65467219
Iso564Rep1_barcoef,3.914268454,13.84830375,1.014138942,6.874840702,-17.49785071,-13.9575997
Iso564Rep2_buccoef,3.54942026,12.6423628,0.675442132,6.714201389,-33.87381073,-30.33355972
Iso564Rep2_gomcoef,3.549164964,13.2213681,0.80869111,6.908271529,-24.02198987,-20.48173886
Iso564Rep2_barcoef,3.543575704,13.27502366,0.776149768,6.752775243,-28.32444531,-24.7841943
Iso570Rep1_buccoef,3.905625861,11.76597234,0.52314768,7.041493956,8.011882575,11.55213358
Iso570Rep1_gomcoef,3.872833527,11.12435797,0.485454139,8.088065184,9.215913439,12.75616444
Iso570Rep1_barcoef,3.8872061,11.99929654,0.541937449,7.214694604,7.689215179,11.22946618
Iso570Rep2_buccoef,4.099776698,3.29306873,0.315302042,7.128482682,-18.23821538,-14.69796437
Iso570Rep2_gomcoef,4.073956439,4.936078431,0.380620344,7.564853265,-25.35466466,-21.81441365
Iso570Rep2_barcoef,4.073439589,5.099556028,0.380145709,7.187856314,-26.97368945,-23.43343845
Iso638Rep1_buccoef,3.851417232,4.951032864,0.420482127,7.050792214,-10.59980933,-7.059558326
Iso638Rep1_gomcoef,3.833842749,6.507857991,0.547014926,7.229716167,-24.3742507,-20.8339997
Iso638Rep1_barcoef,3.793014601,6.096693826,0.508998425,7.049744629,-17.70224296,-14.16199195
Iso638Rep2_buccoef,4.371991947,13.05791519,0.598794749,7.117798624,1.959298014,5.154584662
Iso638Rep2_gomcoef,4.371638891,13.59100827,0.691866649,7.458196582,2.581841265,5.777127913
Iso638Rep2_barcoef,4.364133109,13.86484931,0.708092594,7.211970262,2.063433307,5.258719955
Iso649Rep1_buccoef,3.727088074,4.832697293,0.321057549,7.080085085,0.340525187,3.880776193
Iso649Rep1_gomcoef,3.670446957,6.310875962,0.375106137,8.027615811,-6.126001883,-2.585750877
Iso649Rep1_barcoef,3.706301203,6.851673707,0.386595846,7.138583973,-5.216925749,-1.676674743
Iso649Rep2_buccoef,3.191887832,10.72201772,0.573584807,6.673015768,-14.20493089,-10.66467988
Iso649Rep2_gomcoef,3.189163045,11.27715877,0.644192267,7.113035262,-15.11554148,-11.57529047
Iso649Rep2_barcoef,3.100855835,8.041658963,0.429091351,16.96527367,4.59735015,8.137601156
