,LOG10N0,lag,mumax,LOG10Nmax
Iso570Rep1_gomcoef,3.873139685,11.13165744,0.48584285,8.084585037
Iso570Rep1_barcoef,3.887207903,11.99934307,0.54194021,7.214691619
Iso570Rep2_buccoef,4.099776693,3.293068652,0.315302041,7.128482682
Iso570Rep2_gomcoef,4.073952713,4.936021355,0.380619178,7.564858789
Iso570Rep2_barcoef,4.073439046,5.099543496,0.380145392,7.187856918
Iso638Rep1_buccoef,3.851417233,4.951032889,0.420482128,7.050792214
Iso638Rep1_gomcoef,3.83384292,6.507861478,0.547015116,7.229715829
Iso638Rep1_barcoef,3.793014681,6.096696995,0.508998678,7.049744069
Iso638Rep2_buccoef,4.371991947,12.93651834,0.577066733,7.159867847
Iso638Rep2_gomcoef,4.371639038,13.59101407,0.691867877,7.458192871
Iso638Rep2_barcoef,4.364133094,13.86484894,0.708092564,7.211970202
Iso649Rep1_buccoef,3.72708808,4.832697437,0.321057551,7.080085085
Iso649Rep1_gomcoef,3.670474704,6.311285291,0.375114067,8.027516249
Iso649Rep1_barcoef,3.706302835,6.851713882,0.386596939,7.138579673
Iso649Rep2_buccoef,3.191887832,10.72201771,0.573584806,6.673015768
Iso649Rep2_gomcoef,3.189163142,11.27716132,0.644192481,7.113034777
Iso649Rep2_barcoef,3.176988172,11.17938074,0.624558135,6.739964437
