"isolate","average_LOG10Nmax","average_Nmax"
193,6.48456227875,3051843.63861507
194,6.67833526075,4767989.17518436
402,6.36721123425,2329223.88137082
407,6.4238234355,2653526.53873619
413,7.1012039745,12624203.146108
433,6.81413265225,6518274.59853361
457,6.238426444,1731515.74091233
474,6.40935182575,2566562.38914881
495,6.74127390525,5511551.94962054
518,6.75384561475,5673428.87571019
536,6.56676154925,3687750.6586589
564,6.6949874155,4954358.34411026
570,6.90430886725,8022484.14105991
638,6.5456884655,3513083.44456127
649,6.6194302895,4163228.89860188
