"","Isolate","T","mumax_ln_h","mumax_log10_day","sqrt_mumax_log10_day"
"1",125,22,0.698534387145691,7.28087111416904,2.69830893601327
"2",135,22,0.886051493725168,9.23537458576738,3.03897591069218
"3",193,22,0.421003985280483,4.3881529839982,2.09479187128416
"4",194,22,1.08083451937971,11.2656112228119,3.35642834316657
"5",402,22,0.482906567355553,5.03336777945658,2.24351683288907
"6",407,22,0.48767077888874,5.08302547816417,2.25455660345093
"7",413,22,0.474096222418675,4.94153695890258,2.22295680545137
"8",433,22,0.3104931,3.23629055997683,1.79896930490123
"9",457,22,0.483718453593415,5.04183012456946,2.2454019962068
"10",474,22,0.617732414119317,6.43866668987505,2.53745279559543
"11",495,22,0.640614455833065,6.67716775669811,2.5840216246576
"12",518,22,0.442321992951552,4.61035201831939,2.14717302943181
"13",536,22,1.77895266253291,18.5421437977234,4.30605896356789
"14",564,22,1.01413596420582,10.5704076757013,3.25121633788053
"15",570,22,0.541936920386268,5.64864513752155,2.37668785024907
"16",638,22,0.508999307045624,5.30533416821984,2.30333110260332
"17",649,22,0.386608296781336,4.02964439880357,2.00739741924801
"18",125,22,2.02400439293492,21.0963345407898,4.59307462826262
"19",135,22,0.94943480584876,9.89602313056804,3.14579451499427
"20",193,22,0.828600729868314,8.63656139238758,2.93880271409763
"21",194,22,0.893752579482514,9.31564352294528,3.05215391534327
"22",402,22,0.45815543947395,4.7753851012199,2.18526545326189
"23",407,22,0.482599816883571,5.03017049856131,2.24280415965401
"24",413,22,0.388921563807075,4.05375573731031,2.01339408395632
"25",433,22,0.3273839,3.41234450961518,1.84725323375416
"26",457,22,0.400136450507697,4.17064925913231,2.04221675126131
"27",474,22,0.395458081207534,4.12188629981952,2.03024291645594
"28",495,22,0.579644679827278,6.04167566192553,2.45798203043178
"29",518,22,1.41259562453437,14.7235796375029,3.83713169405259
"30",536,22,0.3840874490753,4.00336943284078,2.00084218089303
"31",564,22,0.776149175470792,8.08985529697737,2.84426709311509
"32",570,22,0.38014574112217,3.96228474452113,1.99054885509528
"33",638,22,0.70809262878559,7.38049731259079,2.7167070715465
"34",649,22,0.624558134788883,6.50981163759838,2.55143325164473
"35",193,10,0.0578726566291631,0.603210610251052,0.776666344224502
"36",194,10,0.0669667074597638,0.697998516504114,0.83546305514015
"37",402,10,0.342211230098659,3.56689077305212,1.88862139484125
"38",407,10,0.0360369002312767,0.375615045968196,0.612874412884235
"39",413,10,0.1143,1.191356622757,1.09149284136773
"40",433,10,0.052916140432924,0.551548507047275,0.742663118141244
"41",457,10,0.0863553136519157,0.900087268849237,0.948729291657656
"42",474,10,0.0634954305744861,0.661817162989688,0.813521458223253
"43",495,10,0.0334403751167092,0.348551289263079,0.590382324653338
"44",518,10,0.0860711608191816,0.897125524674671,0.947167104936964
"45",536,10,0.0871807822059667,0.908691183361453,0.953252948257414
"46",564,10,0.10630239720656,1.10799706847752,1.05261439686027
"47",570,10,0.105421246083586,1.09881277078719,1.04824270605008
"48",638,10,0.0329963024379945,0.343922689728764,0.586449221782043
"49",649,10,0.0787624355855972,0.820946187746044,0.90606080797375
"50",193,10,0.0574704595026385,0.599018482426565,0.773962843052924
"51",194,10,0.107286033980014,1.11824958102732,1.05747320582004
"52",402,10,0.0507894585374113,0.529381957959641,0.727586392093504
"53",407,10,0.0637664069843675,0.664641568418587,0.81525552339042
"54",413,10,0.125593306689217,1.30906752141863,1.14414488655005
"55",433,10,0.0621928038636322,0.648239796769601,0.805133403088954
"56",457,10,0.0682756375347718,0.71164158311467,0.843588515281396
"57",474,10,0.0629043042369504,0.655655813233702,0.809725764215084
"58",495,10,0.0885651422809658,0.923120461958396,0.960791580915651
"59",518,10,0.0680277872642337,0.70905822299868,0.842055950040542
"60",536,10,0.0564047473459988,0.587910492612345,0.766753214934469
"61",564,10,0.140913188224345,1.46874768175746,1.21191900791986
"62",570,10,0.0969327773311072,1.01033688745096,1.00515515590925
"63",638,10,0.0934298711830147,0.973825859993158,0.986826154899209
"64",649,10,0.0452424463922808,0.47156507558331,0.686705960061007
"65",193,8,0,0,0
"66",194,8,0,0,0
"67",402,8,0,0,0
"68",407,8,0,0,0
"69",413,8,0,0,0
"70",433,8,0,0,0
"71",457,8,0,0,0
"72",474,8,0,0,0
"73",495,8,0,0,0
"74",518,8,0,0,0
"75",536,8,0,0,0
"76",564,8,0,0,0
"77",570,8,0,0,0
"78",638,6,0,0,0
"79",649,8,0,0,0
"80",193,8,0,0,0
"81",194,8,0,0,0
"82",402,8,0,0,0
"83",407,8,0,0,0
"84",413,8,0,0,0
"85",433,8,0,0,0
"86",457,8,0,0,0
"87",474,8,0,0,0
"88",495,8,0,0,0
"89",518,8,0,0,0
"90",536,8,0,0,0
"91",564,8,0,0,0
"92",570,8,0,0,0
"93",638,6,0,0,0
"94",649,8,0,0,0
